variable_name,varid,type,dimension,long_name,standard_name,conventions,units,_FillValue,valid_min,valid_max,axis,ancillary_variable,accuracy,precision,resolution,cell_methods,DM_indicator,reference_scale,coordinate_reference,coordinate_reference_frame,sdn_parameter_urn,sdn_uom_urn,comment  ,Example
JULD,juld,double,TIME,Julian 1950 time,time,,days since 1950-01-01T00:00:00Z,999999,0,90000,T,JULD_QC,,,,,,,,,SDN:P01::XXX,SDN:P061::UTAA,"Date and time (UTC) of the measurement in days since midnight, 1950-01-01.","July 25, 2001, 19:14:00 is stored as 18833.8013889885."
JULD_QC,juld_qc,byte,TIME,Quality flag,,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,Quality flag for each JULD value.,
LATITUDE,latitude,double,TIME,Measurement latitude,latitude,,degree_north,99999,-90,90,Y,POSITION_QC,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALATZZ01,SDN:P061::DEGN,Latitude of the measurement. Units: degrees north, southern latitudes are negative.
LONGITUDE,longitude,double,TIME,Measurement longitude,longitude,,degree_east,99999,-180,180,X,POSITION_QC,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALONZZ01,SDN:P061::DEGE,Longitude of the measurement. Unit: degrees east, western latitudes are negative.
POSITION_QC,position_qc,byte,TIME,Quality flag,,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,Quality flag for each LATITUDE and LONGITUDE value.,
POSITION_UNCERTAINTY,position_uncertainty,float,TIME,Uncertainty of measurement location,,,km,99999,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
LATITUDE_UNCERTAINTY_1,latitude_uncertainty_1,double,TIME,"Uncertainty level 1 of measurement latitude, polygon",latitude_uncertainty_1,,degree_north,99999,,,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALATZZ01,SDN:P061::DEGN,,
LONGITUDE_UNCERTAINTY_1,longitude_uncertainty_1,double,TIME,"Uncertainty level 1 of measurement longitude, polygon",longitude_uncertainty_1,,degree_east,99999,,,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALONZZ01,SDN:P061::DEGE,,
LATITUDE_UNCERTAINTY_2,latitude_uncertainty_2,double,TIME,"Uncertainty level 2 of measurement latitude, polygon",latitude_uncertainty_2,,degree_north,99999,,,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALATZZ01,SDN:P061::DEGN,,
LONGITUDE_UNCERTAINTY_2,longitude_uncertainty_2,double,TIME,"Uncertainty level 2 of measurement longitude, polygon",longitude_uncertainty_2,,degree_east,99999,,,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALONZZ01,SDN:P061::DEGE,,
LATITUDE_UNCERTAINTY_3,latitude_uncertainty_3,double,TIME,"Uncertainty level 3 of measurement longitude, polygon",latitude_uncertainty_1,,degree_north,99999,,,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALATZZ01,SDN:P061::DEGN,,
LONGITUDE_UNCERTAINTY_3,longitude_uncertainty_3,double,TIME,"Uncertainty level 3 of measurement longitude, polygon",longitude_uncertainty_3,,degree_east,99999,,,,,,,,,,,WGS84,urn:ogc:crs:EPSG::4326,SDN:P01::ALONZZ01,SDN:P061::DEGE,,
,,,,,,,,,,,,,,,,,,,,,,,,
DEPTH,depth,float,TIME,"Sea water pressure, equals 0 at sea-level ",depth  ,,m,999999,,,Z,,,,,,,,,,,,,
TEMP,sea_water_temperature,float,TIME,Sea temperature in-situ ITS-90 scale,sea_water_temperature,,degree_Celsius,999999,-2.5f,40.f,,,,,,,,,,,,,,
SUNRISE,sunrise,float,TIME,Time at sunrise,sunrise,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
SUNSET,sunset,float,TIME,Time at sunset,sunset,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
TEMP_QC,sea_water_temperature_qc,byte,TIME,Sea temperature in-situ ITS-90 scale quality flags,sea_water_temperature_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
DEPTH_QC,depth_qc,byte,TIME,Depth observed by tag quality flats,depth_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
SUNRISE_QC,sunrise_qc,byte,TIME,Time at sunrise quality flags,sunrise_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
SUNSET_QC,sunset_qc,byte,TIME,Time at sunset quality flags,sunset_qc,POPSTAR reference table 2,,-128,0,9,,,,,,,,,,,,,,
TEMP_UNCERTAINTY,sea_water_temperature_uncertainty,float,TIME,Sea temperature in-situ ITS-90 scale uncertainty,sea_water_temperature_uncertainty,,degree_Celsius,999999,,,,,,,,,,,,,,,,
DEPTH_UNCERTAINTY,depth_uncertainty,float,TIME,Depth observed by tag uncertainty,depth_uncertainty,,m,999999,,,Z,,,,,,,,,,,,,
SUNRISE_UNCERTAINTY,sunrise_uncertainty,float,TIME,Time at sunrise uncertainty,sunrise_uncertainty,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
SUNSET_UNCERTAINTY,sunset_uncertainty,float,TIME,Time at sunset uncertainty,sunset_uncertainty,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
TEMP_ADJUSTED,sea_water_temperature_adjusted,float,TIME,Adjusted Sea temperature in-situ ITS-90 scale,sea_water_temperature_adjusted,,degree_Celsius,999999,,,,,,,,,,,,,,,,
DEPTH_ADJUSTED,depth_adjusted,float,TIME,Adjusted Depth observed by tag,depth_adjusted,,m,999999,,,Z,,,,,,,,,,,,,
SUNRISE_ADJUSTED,sunrise_adjusted,float,TIME,Adjusted Time at sunrise,sunrise_adjusted,,days since 1950-01-01T00:00:00Z,999999,,,,,,,,,,,,,,,,
